Transaction ID,Transaction
Trans1,"Kindle, Mac, Dual monitor stand, Headphones"
Trans2,"Kindle, Mac, Dual monitor stand"
Trans3,"Kindle, Mac, Dual monitor stand, Headphones, screen protector"
Trans4,"Headphones, screen protector, Hp laser printer"
Trans5,"Headphones, Hp laser printer, cartridge"
Trans6,"Kindle, Headphones, screen protector"
Trans7,"Kindle, screen protector, Hp laser printer"
Trans8,"Mac, Dual monitor stand, Headphones"
Trans9,"Dual monitor stand, Headphones, screen protector, Hp laser printer"
Trans10,"Hp laser printer, cartridge, mobile stand"
Trans11,"Kindle, Mac, Dual monitor stand, Headphones"
Trans12,"Kindle, Mac, Dual monitor stand, Belkin power bank"
Trans13,"Kindle, Mac, Dual monitor stand, cartridge, Belkin power bank"
Trans14,"Dual monitor stand, Headphones, screen protector"
Trans15,"Dual monitor stand, Headphones"
Trans16,"Kindle, Mac, Dual monitor stand, Headphones"
Trans17,"Kindle, Mac, Dual monitor stand, Headphones"
Trans18,"screen protector, Hp laser printer, cartridge"
Trans19,"Headphones, screen protector"
Trans20,"Kindle, Mac, Dual monitor stand"
Trans21,"Kindle, Mac, Wire extension, mobile stand"
Trans22,"Headphones, Belkin power bank, cartridge"
Trans23,"Mac, Kindle, Hp laser printer, Wire extension"
Trans24,"Dual monitor stand, Headphones, mobile stand, Belkin power bank"
Trans25,"Mac, Kindle, screen protector, Wire extension, Belkin power bank"
