Transaction ID,Transaction
Trans1,"iPhone 17, MagSafe Case, AirPods Pro 3"
Trans2,"MacBook, 60W Power Adapter, USB-C Cable"
Trans3,"iPhone 17, iPad, Apple Watch, AirPods Pro 3"
Trans4,"iPhone 17, Crossbody Strap, Apple Watch"
Trans5,"iPhone 17, iPad, MagSafe Charger, USB-C Cable"
Trans6,"MacBook, MagSafe Charger, AirPods Pro 3"
Trans7,"iPhone 17, MacBook, AirPods Pro 3"
Trans8,"iPhone 17, Apple Watch, iPad, MagSafe Case"
Trans9,"iPhone 17, MagSafe Case, AirPods Pro 3, Crossbody Strap"
Trans10,"MacBook, USB-C Cable, MagSafe Charger"
Trans11,"iPhone 17, iPad, Apple Watch"
Trans12,"iPhone 17, MagSafe Case, AirPods Pro 3, Apple Watch"
Trans13,"iPad, USB-C Cable"
Trans14,"MacBook, MagSafe Case, 60W Power Adapter"
Trans15,"iPhone 17, MagSafe Charger, USB-C Cable"
Trans16,"iPhone 17, iPad, AirPods Pro 3"
Trans17,"MacBook, 60W Power Adapter"
Trans18,"iPhone 17, MagSafe Case"
Trans19,"iPhone 17, Apple Watch, Crossbody Strap"
Trans20,"iPad, USB-C Cable, AirPods Pro 3"
Trans21,"MacBook, MagSafe Charger, AirPods Pro 3, USB-C Cable"
Trans22,"iPhone 17, AirPods Pro 3"
Trans23,"iPhone 17, MacBook, USB-C Cable"
Trans24,"iPad, Apple Watch, MagSafe Charger"
Trans25,"iPhone 17, MagSafe Case, Apple Watch"
