Transaction ID,Transaction
Trans1,"Running Shoe, Socks, Sweatshirts, Sweat Pent"
Trans2,"Running Shoe, Socks, Sweatshirts"
Trans3,"Running Shoe, Socks, Sweatshirts, Sweat Pent"
Trans4,"Running Shoe, Sweatshirts, Sweat Pent"
Trans5,"Running Shoe, Socks, Sweatshirts, Sweat Pent, Slides"
Trans6,"Running Shoe, Socks, Sweatshirts"
Trans7,"Running Shoe, Socks, Sweatshirts, Sweat Pent, Gym Water Bottles, Hoodies"
Trans8,"Short, Socks, Sweatshirts"
Trans9,"Short, Casual Tshirt, Hoodies, Gym Water Bottles"
Trans10,"Short, Casual Tshirt, Socks"
Trans11,"Short, Casual Tshirt"
Trans12,"Running Shoe, Short, Socks, Sweatshirts, Sweat Pent, Slides, Hoodies, Gym Water Bottles, Casual Tshirt"
Trans13,"Running Shoe, Short, Socks, Sweatshirts, Sweat Pent, Slides, Gym Water Bottles, Casual Tshirt, Hoodies"
Trans14,"Running Shoe, Short, Gym Water Bottles, Hoodies, Casual Tshirt"
Trans15,"Running Shoe, Short, Socks, Sweatshirts, Sweat Pent, Casual Tshirt, , Gym Water Bottles"
Trans16,"Short, Slides, Hoodies, Casual Tshirt, Gym Water Bottles, "
Trans17,"Running Shoe, Socks"
Trans18,"Socks, Sweatshirts, Sweat Pent, Slides, Hoodies, Gym Water Bottles, Casual Tshirt"
Trans19,"Running Shoe, Short"
Trans20,"Running Shoe, Short, Socks, Sweatshirts, Sweat Pent, Slides, Hoodies, Gym Water Bottles, Casual Tshirt"
Trans21,"Running Shoe, Sweatshirts, Hoodies, Sweat Pent"
Trans22,"Running Shoe, Socks, Sweatshirts, Sweat Pent, Gym Water Bottles"
Trans23,"Running Shoe, Socks, Sweatshirts, Hoodies"
Trans24,"Short, Socks, Sweatshirts, Casual Tshirt"
Trans25,"Running Shoe, Socks, Sweatshirts, Sweat Pent, Hoodies"
